codigo	nombre	val1	val2	class
07101	TALCA	0.08	0.20	1
07103	CUREPTO	0.31	0.20	5
08419	SAN NICOLAS	0.12	0.20	2
07105	MAULE	0.06	0.20	1
07104	EMPEDRADO	0.14	0.20	2
07107	PENCAHUE	0.11	0.20	2
07106	PELARCO	0.11	0.20	2
07109	SAN CLEMENTE	0.08	0.20	1
07108	RIO CLARO	0.10	0.20	2
08410	PEMUCO	0.12	0.20	2
13110	LA FLORIDA	0.10	0.20	1
08416	SAN CARLOS	0.10	0.20	1
08417	SAN FABIAN	0.09	0.20	1
08414	QUIRIHUE	0.11	0.20	2
08415	RANQUIL	0.14	0.20	2
13401	SAN BERNARDO	0.08	0.20	1
07202	CHANCO	0.24	0.20	5
13403	CALERA DE TANGO	0.06	0.20	1
07102	CONSTITUCION	0.08	0.20	1
10109	PUERTO VARAS	0.09	0.20	1
10108	MAULLIN	0.07	0.20	1
05301	LOS ANDES	0.10	0.20	1
06107	LAS CABRAS	0.08	0.20	1
10105	FRUTILLAR	0.10	0.20	2
10104	FRESIA	0.14	0.20	2
06117	SAN VICENTE	0.24	0.20	5
10106	LOS MUERMOS	0.10	0.20	2
10101	PUERTO MONTT	0.06	0.20	1
06110	MOSTAZAL	0.06	0.20	1
10103	COCHAMO	0.07	0.20	1
10102	CALBUCO	0.07	0.20	1
06105	DO„IHUE	0.06	0.20	1
15201	ARICA	0.00	0.20	1
08313	YUMBEL	0.15	0.20	3
08412	PORTEZUELO	0.19	0.20	3
02101	ANTOFAGASTA	0.07	0.20	1
09204	ERCILLA	0.06	0.20	1
09205	LONQUIMAY	0.05	0.20	1
09206	LOS SAUCES	0.10	0.20	1
09207	LUMACO	0.08	0.20	1
09201	ANGOL	0.09	0.20	1
09202	COLLIPULLI	0.10	0.20	2
09203	CURACAUTIN	0.17	0.20	3
05702	CATEMU	0.07	0.20	1
09208	PUREN	0.49	0.20	5
10305	RIO NEGRO	0.09	0.20	1
08307	NEGRETE	0.11	0.20	2
07110	SAN RAFAEL	0.10	0.20	1
08302	ANTUCO	0.10	0.20	1
08301	LOS ANGELES	0.08	0.20	1
06109	MALLOA	0.09	0.20	1
08420	TREHUACO	0.10	0.20	1
08308	QUILACO	0.18	0.20	3
08309	QUILLECO	0.06	0.20	1
10206	PUQUELDON	0.12	0.20	2
10207	QUEILEN	0.66	0.20	5
10205	DALCAHUE	0.05	0.20	1
10202	ANCUD	0.05	0.20	1
10203	CHONCHI	0.06	0.20	1
06108	MACHALI	0.13	0.20	2
10201	CASTRO	0.07	0.20	1
05705	PUTAENDO	0.11	0.20	2
07203	PELLUHUE	0.09	0.20	1
06104	COLTAUCO	0.05	0.20	1
07201	CAUQUENES	0.07	0.20	1
06102	CODEGUA	0.06	0.20	1
09105	FREIRE	0.06	0.20	1
10208	QUELLON	0.03	0.20	1
06101	RANCAGUA	0.11	0.20	2
13603	ISLA DE MAIPO	0.10	0.20	2
13602	EL MONTE	0.11	0.20	2
13601	TALAGANTE	0.08	0.20	1
09104	CURARREHUE	0.03	0.20	1
05303	RINCONADA	0.08	0.20	1
13605	PE„AFLOR	0.09	0.20	1
13604	PADRE HURTADO	0.08	0.20	1
10209	QUEMCHI	0.04	0.20	1
11101	COIHAYQUE	0.06	0.20	1
08311	SANTA BARBARA	0.09	0.20	1
13101	SANTIAGO	0.11	0.20	2
05302	CALLE LARGA	0.07	0.20	1
13402	BUIN	0.10	0.20	1
12301	PORVENIR	0.07	0.20	1
09101	TEMUCO	0.09	0.20	1
03202	DIEGO DE ALMAGRO	0.15	0.20	2
08413	QUILLON	0.15	0.20	2
10210	QUINCHAO	0.09	0.20	1
08411	PINTO	0.08	0.20	1
08409	„IQUEN	0.11	0.20	2
05706	SANTA MARIA	0.06	0.20	1
11301	COCHRANE	0.06	0.20	1
05107	QUINTERO	0.15	0.20	2
05605	EL TABO	0.20	0.20	4
03201	CHA„ARAL	0.07	0.20	1
11201	PUERTO AYSEN	0.07	0.20	1
06115	RENGO	0.08	0.20	1
05404	PETORCA	0.10	0.20	2
05405	ZAPALLAR	0.08	0.20	1
05402	CABILDO	0.21	0.20	4
05403	PAPUDO	0.07	0.20	1
05401	LA LIGUA	0.28	0.20	5
10107	LLANQUIHUE	0.13	0.20	2
05701	SAN FELIPE	0.08	0.20	1
06116	REQUINOA	0.11	0.20	2
06111	OLIVAR	0.15	0.20	2
13302	LAMPA	0.07	0.20	1
13303	TILTIL	0.11	0.20	2
09209	RENAICO	0.12	0.20	2
13301	COLINA	0.05	0.20	1
04302	COMBARBALA	0.13	0.20	2
04303	MONTE PATRIA	0.07	0.20	1
04301	OVALLE	0.06	0.20	1
06113	PICHIDEGUA	0.17	0.20	3
04304	PUNITAQUI	0.07	0.20	1
04305	RIO HURTADO	0.08	0.20	1
06112	PEUMO	0.37	0.20	5
08310	SAN ROSENDO	0.15	0.20	3
09107	GORBEA	0.13	0.20	2
13115	LO BARNECHEA	0.08	0.20	1
04203	LOS VILOS	0.27	0.20	5
04202	CANELA	0.09	0.20	1
04201	ILLAPEL	0.15	0.20	3
03304	HUASCO	0.18	0.20	3
03303	FREIRINA	0.10	0.20	1
03302	ALTO DEL CARMEN	0.07	0.20	1
03301	VALLENAR	0.13	0.20	2
04204	SALAMANCA	0.22	0.20	4
07303	LICANTEN	0.34	0.20	5
07302	HUALA„E	0.29	0.20	5
07301	CURICO	0.08	0.20	1
07307	SAGRADA FAMILIA	0.12	0.20	2
07306	ROMERAL	0.08	0.20	1
07305	RAUCO	0.08	0.20	1
07304	MOLINA	0.12	0.20	2
07309	VICHUQUEN	0.11	0.20	2
07308	TENO	0.12	0.20	2
05703	LLAY - LLAY	0.11	0.20	2
08205	CURANILAHUE	0.10	0.20	2
08204	CONTULMO	0.08	0.20	1
10204	CURACO DE VELEZ	0.09	0.20	1
01101	IQUIQUE	0.09	0.20	1
13130	SAN MIGUEL	0.13	0.20	2
13132	VITACURA	0.12	0.20	2
08312	TUCAPEL	0.12	0.20	2
10403	HUALAIHUE	0.03	0.20	1
05109	VI„A DEL MAR	0.10	0.20	2
12401	PUERTO NATALES	0.07	0.20	1
13131	SAN RAMON	0.10	0.20	1
05103	CONCON	0.08	0.20	1
05102	CASABLANCA	0.12	0.20	2
05101	VALPARAISO	0.09	0.20	1
10304	PUYEHUE	0.08	0.20	1
10303	PURRANQUE	0.07	0.20	1
10302	PUERTO OCTAY	0.06	0.20	1
05105	PUCHUNCAVI	0.09	0.20	1
08112	HUALPEN	0.10	0.20	1
01107	ALTO HOSPICIO	0.06	0.20	1
13126	QUINTA NORMAL	0.11	0.20	2
06310	SANTA CRUZ	0.07	0.20	1
13203	SAN JOSE DE MAIPO	0.13	0.20	2
13202	PIRQUE	0.06	0.20	1
13201	PUENTE ALTO	0.07	0.20	1
09120	VILLARRICA	0.08	0.20	1
03101	COPIAPO	0.08	0.20	1
05704	PANQUEHUE	0.13	0.20	2
09121	CHOL CHOL	0.05	0.20	1
13127	RECOLETA	0.11	0.20	2
13124	PUDAHUEL	0.07	0.20	1
13125	QUILICURA	0.06	0.20	1
13122	PE„ALOLEN	0.07	0.20	1
13123	PROVIDENCIA	0.17	0.20	3
13120	„U„OA	0.13	0.20	2
13121	PEDRO AGUIRRE CERDA	0.11	0.20	2
13128	RENCA	0.11	0.20	2
13129	SAN JOAQUIN	0.10	0.20	1
04102	COQUIMBO	0.07	0.20	1
04106	VICU„A	0.16	0.20	3
05506	NOGALES	0.09	0.20	1
08111	TOME	0.08	0.20	1
05504	LA CRUZ	0.09	0.20	1
05503	HIJUELAS	0.11	0.20	2
05502	LA CALERA	0.12	0.20	2
05501	QUILLOTA	0.08	0.20	1
08421	YUNGAY	0.16	0.20	3
06308	PLACILLA	0.16	0.20	3
12101	PUNTA ARENAS	0.11	0.20	2
06304	LOLOL	0.13	0.20	2
06305	NANCAGUA	0.27	0.20	5
06306	PALMILLA	0.06	0.20	1
06307	PERALILLO	0.11	0.20	2
06301	SAN FERNANDO	0.07	0.20	1
06302	CHEPICA	0.09	0.20	1
06303	CHIMBARONGO	0.13	0.20	2
13113	LA REINA	0.15	0.20	3
13112	LA PINTANA	0.05	0.20	1
08418	SAN IGNACIO	0.12	0.20	2
11202	CISNE	0.08	0.20	1
13117	LO PRADO	0.10	0.20	1
13116	LO ESPEJO	0.09	0.20	1
06309	PUMANQUE	0.29	0.20	5
13114	LAS CONDES	0.18	0.20	3
08207	TIRUA	0.05	0.20	1
08206	LOS ALAMOS	0.09	0.20	1
13119	MAIPU	0.10	0.20	1
13118	MACUL	0.11	0.20	2
08203	CA„ETE	0.13	0.20	2
08202	ARAUCO	0.06	0.20	1
08201	LEBU	0.12	0.20	2
08306	NACIMIENTO	0.15	0.20	3
13105	EL BOSQUE	0.06	0.20	1
04101	LA SERENA	0.08	0.20	1
09211	VICTORIA	0.10	0.20	1
09210	TRAIGUEN	0.19	0.20	3
10307	SAN PABLO	0.07	0.20	1
08305	MULCHEN	0.17	0.20	3
13501	MELIPILLA	0.07	0.20	1
13502	ALHUE	0.08	0.20	1
13503	CURACAVI	0.11	0.20	2
13504	MARIA PINTO	0.09	0.20	1
13505	SAN PEDRO	0.07	0.20	1
08303	CABRERO	0.14	0.20	2
08104	FLORIDA	0.12	0.20	2
07408	YERBAS BUENAS	0.09	0.20	1
11401	CHILE CHICO	0.08	0.20	1
08105	HUALQUI	0.08	0.20	1
07404	PARRAL	0.07	0.20	1
07405	RETIRO	0.11	0.20	2
07406	SAN JAVIER	0.10	0.20	2
07407	VILLA ALEGRE	0.10	0.20	1
10306	SAN JUAN DE LA COSTA	0.09	0.20	1
07401	LINARES	0.07	0.20	1
07402	COLBUN	0.05	0.20	1
07403	LONGAVI	0.09	0.20	1
05304	SAN ESTEBAN	0.06	0.20	1
13108	INDEPENDENCIA	0.10	0.20	2
13109	LA CISTERNA	0.14	0.20	2
09109	LONCOCHE	0.09	0.20	1
09108	LAUTARO	0.10	0.20	1
13104	CONCHALI	0.08	0.20	1
09106	GALVARINO	0.09	0.20	1
13106	ESTACION CENTRAL	0.10	0.20	1
13107	HUECHURABA	0.08	0.20	1
09103	CUNCO	0.09	0.20	1
09102	CARAHUE	0.12	0.20	2
13102	CERRILLOS	0.15	0.20	3
13103	CERRO NAVIA	0.08	0.20	1
05604	EL QUISCO	0.10	0.20	2
08408	NINHUE	0.16	0.20	3
05606	SANTO DOMINGO	0.11	0.20	2
08110	TALCAHUANO	0.08	0.20	1
05601	SAN ANTONIO	0.12	0.20	2
05602	ALGARROBO	0.13	0.20	2
05603	CARTAGENA	0.13	0.20	2
08401	CHILLAN	0.11	0.20	2
08403	COBQUECURA	0.08	0.20	1
08402	BULNES	0.14	0.20	2
08405	COIHUECO	0.06	0.20	1
08404	COELEMU	0.13	0.20	2
08407	EL CARMEN	0.12	0.20	2
08406	CHILLAN VIEJO	0.05	0.20	1
10301	OSORNO	0.09	0.20	1
02201	CALAMA	0.04	0.20	1
13404	PAINE	0.07	0.20	1
03103	TIERRA AMARILLA	0.10	0.20	1
03102	CALDERA	0.06	0.20	1
06205	NAVIDAD	0.07	0.20	1
06204	MARCHIGUE	0.31	0.20	5
06206	PAREDONES	0.14	0.20	2
06201	PICHILEMU	0.29	0.20	5
06202	LA ESTRELLA	0.13	0.20	2
09114	PITRUFQUEN	0.08	0.20	1
13111	LA GRANJA	0.11	0.20	2
09115	PUCON	0.05	0.20	1
08109	SANTA JUANA	0.13	0.20	2
09118	TOLTEN	0.10	0.20	1
09119	VILCUN	0.06	0.20	1
08106	LOTA	0.11	0.20	2
08107	PENCO	0.08	0.20	1
08304	LAJA	0.10	0.20	2
08101	CONCEPCION	0.09	0.20	1
08102	CORONEL	0.09	0.20	1
08103	CHIGUAYANTE	0.09	0.20	1
09110	MELIPEUCO	0.05	0.20	1
09111	NUEVA IMPERIAL	0.05	0.20	1
09112	PADRE LAS CASAS	0.07	0.20	1
09113	PERQUENCO	0.08	0.20	1
08108	SAN PEDRO DE LA PAZ	0.09	0.20	1
09117	TEODORO SCHMIDT	0.07	0.20	1
